id,est_id,date,extra_credit,grade,score,final_score,type
1525907,55750,2012-02-13,Y,A,99.0,101.0,1 - INSPECTION
1525910,57799,2012-02-20,Y,A,97.0,99.0,1 - INSPECTION
1525927,57090,2012-02-20,Y,A,97.0,99.0,1 - INSPECTION
1525984,58077,2012-02-16,Y,A,98.0,100.0,1 - INSPECTION
1526191,97999,2012-02-22,N,,0.0,0.0,1 - INSPECTION
1526318,97635,2012-02-09,N,A,98.0,98.0,1 - INSPECTION
1526361,56102,2012-02-22,N,A,97.0,97.0,1 - INSPECTION
1526556,56849,2012-02-23,Y,A,90.0,92.0,1 - INSPECTION
1526599,81078,2012-02-23,N,,,,CVV - CRITICAL VIOLATION VISIT
1526638,58362,2012-02-22,N,A,98.0,98.0,1 - INSPECTION
1526735,63619,2012-02-23,Y,A,98.0,100.0,1 - INSPECTION
1526897,83018,2012-02-21,Y,A,99.0,101.0,1 - INSPECTION
1526900,69731,2012-02-20,Y,A,97.0,99.0,1 - INSPECTION
1526905,56864,2012-02-18,N,,,,V - VISIT
1527547,88444,2012-03-01,N,,,,V - VISIT
1527888,57168,2012-02-27,Y,A,99.0,101.0,1 - INSPECTION
1527915,84306,2012-03-01,N,,0.0,0.0,1 - INSPECTION
1539418,56657,2012-03-06,N,,,,V - VISIT
1539429,98130,2012-03-06,N,,,,1 - INSPECTION
1539517,58073,2012-03-07,Y,A,97.0,99.0,1 - INSPECTION
1539648,55627,2012-03-06,Y,A,98.0,100.0,1 - INSPECTION
1539823,56752,2012-03-05,N,A,98.0,98.0,1 - INSPECTION
1522162,70266,2012-01-24,Y,A,99.0,101.0,1 - INSPECTION
1522268,86682,2012-01-25,Y,A,98.0,100.0,1 - INSPECTION
1522346,97944,2012-01-25,N,,,,P - PERMIT
1522398,59499,2012-01-25,N,A,100.0,100.0,1 - INSPECTION
1522483,57054,2012-01-26,Y,A,100.0,102.0,1 - INSPECTION
1522504,97944,2012-01-25,N,,,,V - VISIT
1522581,97697,2012-01-26,Y,A,97.0,99.0,1 - INSPECTION
1522582,56503,2012-01-26,Y,A,97.0,99.0,1 - INSPECTION
1523116,57003,2012-01-31,Y,A,96.0,98.0,1 - INSPECTION
1523547,98003,2012-02-01,N,,,,P - PERMIT
1523571,83034,2011-11-29,N,,,,V - VISIT
1523622,85812,2012-02-01,Y,A,98.0,100.0,1 - INSPECTION
1523624,57613,2012-01-30,N,A,96.0,96.0,1 - INSPECTION
1523632,58123,2012-01-24,Y,A,93.0,95.0,1 - INSPECTION
1523849,56930,2012-02-02,Y,A,97.0,99.0,1 - INSPECTION
1523975,57702,2012-02-06,N,A,98.0,98.0,1 - INSPECTION
1524280,97852,2012-02-08,N,A,92.0,92.0,1 - INSPECTION
1524425,57720,2012-02-09,N,A,99.0,99.0,1 - INSPECTION
1524457,86297,2012-02-08,Y,A,99.0,101.0,1 - INSPECTION
1524551,97777,2012-02-07,Y,A,100.0,102.0,1 - INSPECTION
1524664,56561,2012-02-10,N,,,,CVF - CRITICAL VIOLATION FOLLOWUP
1524677,57986,2012-02-10,N,,,,CVF - CRITICAL VIOLATION FOLLOWUP
1524679,56599,2012-02-10,N,,,,CVF - CRITICAL VIOLATION FOLLOWUP
1524761,56209,2012-02-09,Y,A,94.0,96.0,1 - INSPECTION
1524800,58067,2012-02-09,Y,A,98.0,100.0,1 - INSPECTION
1524811,58065,2012-02-07,Y,A,100.0,102.0,1 - INSPECTION
1524832,57017,2012-02-07,N,A,98.0,98.0,1 - INSPECTION
1524948,57128,2012-02-13,N,A,98.0,98.0,1 - INSPECTION
1524949,56451,2012-02-13,N,A,97.0,97.0,1 - INSPECTION
1525001,58070,2012-02-13,N,A,99.0,99.0,1 - INSPECTION
1525049,57180,2012-02-13,Y,A,93.0,95.0,1 - INSPECTION
1525121,56571,2012-02-14,N,,,,CVV - CRITICAL VIOLATION VISIT
1525237,58335,2012-02-15,N,A,99.0,99.0,1 - INSPECTION
1525267,56566,2012-02-15,Y,A,97.0,99.0,1 - INSPECTION
